When Things Fall Apart,Pema Chodron,A great introduction to Buddhist ideologies presented in an accessible way. Really grounding, a litttle woo woo at times,3.5,2024-01-02,2024-02-03
Blockchain Chicken Farm,Xiaowei Wang,Read in Australia. Great look into how online shopping and globalization is affecting rural china,4/5,2023-09-04,2023-09-26
Parable of a Sower,Octavia E. Butler,Really interesting world and sucked me in. Somehow didn't live up tot he hype tho. Still want to read the others,3.5/5,2023-04-19,2023-09-04
Convenience Store Woman,Murata Sayaka,Really cute quick read,3/5,2023-04-26,2023-05-15
